"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT21","WT21_ATTRIBUTES"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-09-22","8.95",",,W"," 1455",",,X"," 1416",",,W","0.00",",,0,2400",,,,,,,"70",",,0","61",",,0","  260",",,X","  280",",,X","0.0",",,0","21.0",",,X","25.1",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-09-23","6.93",",,W"," 1400",",,X"," 1328",",,W","0.00",",,0,2400",,,,,,,"74",",,0","57",",,0","  270",",,X","  270",",,X","0.0",",,0","17.9",",,X","21.9",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-09-24","5.82",",,W"," 1410",",,X"," 1455",",,W","0.00",",,0,2400",,,,,,,"77",",,0","61",",,0","  270",",,X","  280",",,X","0.0",",,0","17.0",",,X","21.9",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-09-25","5.14",",,W"," 1452",",,X"," 1420",",,W","0.00",",,0,2400",,,,,,,"84",",,0","63",",,0","  270",",,X","  280",",,X","0.0",",,0","17.0",",,X","25.1",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-09-26","4.92",",,W"," 1502",",,X"," 1408",",,W","0.00",",,0,2400",,,,,,,"87",",,0","63",",,0","  280",",,X","  280",",,X","0.0",",,0","15.0",",,X","23.0",",,X",,,,,,,,,,,"    1",",,W",,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-09-27","6.26",",,W"," 2150",",,X"," 1430",",,W","0.00",",,0,2400",,,,,,,"105",",,0","70",",,0","  100",",,X","  290",",,X","0.0",",,0","15.0",",,X","21.0",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-09-28","6.49",",,W"," 1503",",,X"," 1258",",,W","0.00",",,0,2400",,,,,,,"94",",,0","72",",,0","  270",",,X","  150",",,X","0.0",",,0","14.1",",,X","21.0",",,X",,,,,,,,,,,"    1",",,W",,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-09-29","5.82",",,W"," 1800",",,X"," 1806",",,W","0.00",",,0,2400",,,,,,,"82",",,0","68",",,0","  270",",,X","  280",",,X","0.0",",,0","15.0",",,X","16.1",",,X","    1",",,0",,,"    1",",,X",,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-09-30","7.16",",,W"," 1518",",,X",,,"0.00",",,0,2400",,,,,,,"81",",,0","64",",,0","  270",",,Z",,,"0.0",",,0","14.1",",,Z",,,"    1",",,0","    1",",,X","    1",",,X",,,,,,,"    1",",,0","    1",",,X",,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-10-01","5.59",",,W"," 0009",",,X"," 1419",",,W","0.00",",,0,2400",,,,,,,"76",",,0","66",",,0","  270",",,X","  270",",,X","0.0",",,0","16.1",",,X","17.0",",,X","    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-10-02","5.82",",,W"," 1508",",,X"," 1433",",,W","0.00","T,,0,2400",,,,,,,"80",",,0","64",",,0","  270",",,X","  260",",,X","0.0",",,0","16.1",",,X","21.9",",,X",,,,,,,,,"    1",",,0","    1",",,X",,,,,,,"    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-10-03","6.71",",,W"," 1537",",,X"," 1419",",,W","0.00",",,0,2400",,,,,,,"71",",,0","63",",,0","  270",",,X","  280",",,X","0.0",",,0","17.0",",,X","21.9",",,X","    1",",,W",,,,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-10-04","8.50",",,W"," 2042",",,X"," 2041",",,W","0.05",",,0,2400",,,,,,,"64",",,0","59",",,0","  270",",,X","  270",",,X","0.0",",,0","19.9",",,X","23.0",",,X","    1",",,W",,,,,"    1",",,0","    1",",,0","    1",",,X",,,"    1",",,X","    1",",,X","    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-10-05","6.71",",,W"," 1532",",,X"," 2220",",,W","0.07",",,0,2400",,,,,,,"66",",,0","59",",,0","  100",",,X","   50",",,X","0.0",",,0","13.0",",,X","17.0",",,X",,,,,,,"    1",",,0",,,,,,,,,"    1",",,X","    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-10-06","6.04",",,W"," 0952",",,X"," 1632",",,W","0.62",",,0,2400",,,,,,,"66",",,0","59",",,0","  100",",,X","  170",",,X","0.0",",,0","14.1",",,X","19.9",",,X","    1",",,W",,,,,"    1",",,0",,,"    1",",,W",,,"    1",",,X",,,"    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-10-07","7.16",",,W"," 1840",",,X"," 1839",",,W","0.00",",,0,2400",,,,,,,"69",",,0","60",",,0","  280",",,X","  280",",,X","0.0",",,0","17.9",",,X","21.9",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-10-08","4.70",",,W"," 1534",",,X"," 1606",",,W","0.00",",,0,2400",,,,,,,"72",",,0","56",",,0","  260",",,X","  270",",,X","0.0",",,0","17.0",",,X","19.9",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-10-09","5.37",",,W"," 1551",",,X"," 1544",",,W","0.00",",,0,2400",,,,,,,"76",",,0","59",",,0","  270",",,X","  270",",,X","0.0",",,0","16.1",",,X","19.9",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-10-10","4.92",",,W"," 1520",",,X"," 1517",",,W","0.00",",,0,2400",,,,,,,"79",",,0","61",",,0","  250",",,X","  250",",,X","0.0",",,0","16.1",",,X","19.9",",,X",,,,,,,,,,,"    1",",,W",,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-10-11","6.49",",,W"," 1530",",,X"," 1506",",,W","0.00",",,0,2400",,,,,,,"81",",,0","63",",,0","  290",",,X","  280",",,X","0.0",",,0","12.1",",,X","19.9",",,X","    1",",,X",,,,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-10-12","6.49",",,W"," 1559",",,X"," 1559",",,W","0.00",",,0,2400",,,,,,,"71",",,0","63",",,0","  270",",,X","  260",",,X","0.0",",,0","14.1",",,X","17.0",",,X","    1",",,W",,,,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-10-13","6.49",",,W"," 1337",",,X"," 1203",",,W","0.00",",,0,2400",,,,,,,"68",",,0","61",",,0","  270",",,X","  290",",,X","0.0",",,0","16.1",",,X","21.0",",,X","    1",",,X","    1",",,X",,,,,"    1",",,0","    1",",,X","    1",",,0","    1",",,X",,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-10-14","5.14",",,W"," 1121",",,X"," 1116",",,W","0.00",",,0,2400",,,,,,,"69",",,0","62",",,0","  280",",,X","  280",",,X","0.0",",,0","14.1",",,X","21.0",",,X","    1",",,W",,,,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-10-15","5.37",",,W"," 1555",",,X"," 1415",",,W","0.00","T,,0,2400",,,,,,,"66",",,0","63",",,0","  270",",,X","  300",",,X","0.0",",,0","13.0",",,X","19.9",",,X","    1",",,W",,,,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,,"    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-10-16","4.92",",,W"," 1626",",,X"," 2158",",,W","0.00","T,,0,2400",,,,,,,"65",",,0","62",",,0","  270",",,X","  290",",,X","0.0",",,0","12.1",",,X","17.9",",,X","    1",",,W",,,,,"    1",",,0","    1",",,0","    1",",,X",,,"    1",",,X",,,"    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-10-17","4.47",",,W"," 1535",",,X"," 1428",",,W","0.05",",,0,2400",,,,,,,"64",",,0","60",",,0","  270",",,X","  260",",,X","0.0",",,0","13.0",",,X","15.0",",,X","    1",",,W",,,,,"    1",",,0",,,"    1",",,W",,,"    1",",,X",,,"    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-10-18","3.80",",,W"," 1628",",,X"," 1456",",,W","0.00","T,,0,2400",,,,,,,"67",",,0","62",",,0","  280",",,X","  280",",,X","0.0",",,0","12.1",",,X","16.1",",,X",,,,,,,,,"    1",",,0","    1",",,X",,,,,,,"    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-10-19","6.49",",,W"," 1543",",,X"," 1542",",,W","0.12",",,0,2400",,,,,,,"69",",,0","62",",,0","  230",",,X","  230",",,X","0.0",",,0","25.1",",,X","32.0",",,X",,,,,"    1",",,W","    1",",,0",,,,,,,,,,,"    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-10-20","7.16",",,W"," 2300",",,X"," 1227",",,W","0.10",",,0,2400",,,,,,,"66",",,0","61",",,0","  280",",,X","  170",",,X","0.0",",,0","15.0",",,X","21.0",",,X","    1",",,W",,,,,"    1",",,0","    1",",,0","    1",",,X",,,"    1",",,X",,,"    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-10-21","10.51",",,W"," 1046",",,X"," 1253",",,W","0.00",",,0,2400",,,,,,,"66",",,0","62",",,0","  270",",,X","  250",",,X","0.0",",,0","17.9",",,X","21.0",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-10-22","8.50",",,W"," 1555",",,X"," 1422",",,W","0.00","T,,0,2400",,,,,,,"67",",,0","61",",,0","  260",",,X","  270",",,X","0.0",",,0","16.1",",,X","21.9",",,X",,,,,,,,,,,,,,,,,"    1",",,X","    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-10-23","6.93",",,W"," 1744",",,X"," 1432",",,W","0.01",",,0,2400",,,,,,,"68",",,0","60",",,0","  280",",,X","  260",",,X","0.0",",,0","14.1",",,X","17.9",",,X","    1",",,W",,,,,"    1",",,0",,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-10-24","5.14",",,W"," 1339",",,X"," 1339",",,W","0.10",",,0,2400",,,,,,,"68",",,0","58",",,0","  240",",,X","  220",",,X","0.0",",,0","15.0",",,X","19.9",",,X","    1",",,W",,,,,"    1",",,0",,,"    1",",,X",,,"    1",",,X",,,"    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-10-25","10.07",",,W"," 0926",",,X"," 1033",",,W","0.08",",,0,2400",,,,,,,"75",",,0","62",",,0","   10",",,X","  310",",,X","0.0",",,0","21.0",",,X","28.0",",,X","    1",",,W",,,,,"    1",",,0",,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-10-26","8.28",",,W"," 2009",",,X"," 2047",",,W","0.00",",,0,2400",,,,,,,"70",",,0","57",",,0","  330",",,X","  340",",,X","0.0",",,0","19.9",",,X","25.9",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-10-27","5.59",",,W"," 1246",",,X"," 2208",",,W","0.00",",,0,2400",,,,,,,"84",",,0","55",",,0","  130",",,X","  340",",,X","0.0",",,0","14.1",",,X","17.9",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-10-28","6.49",",,W"," 1414",",,X"," 0842",",,W","0.00",",,0,2400",,,,,,,"83",",,0","60",",,0","  280",",,X","   20",",,X","0.0",",,0","16.1",",,X","19.9",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-10-29","4.47",",,W"," 1322",",,X"," 1325",",,W","0.00",",,0,2400",,,,,,,"78",",,0","57",",,0","  260",",,X","  250",",,X","0.0",",,0","17.0",",,X","21.9",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-10-30","8.28",",,W"," 0334",",,X",,,"0.36",",,0,2400",,,,,,,"66",",,0","58",",,0","  290",",,Z",,,"0.0",",,0","17.9",",,Z",,,"    1",",,W",,,,,"    1",",,0",,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-10-31","5.14",",,W"," 1556",",,X"," 1226",",,W","0.00",",,0,2400",,,,,,,"66",",,0","54",",,0","  260",",,X","  270",",,X","0.0",",,0","13.0",",,X","16.1",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-11-01","3.36",",,W"," 1306",",,X"," 1251",",,W","0.00",",,0,2400",,,,,,,"77",",,0","56",",,0","  280",",,X","  290",",,X","0.0",",,0","14.1",",,X","17.9",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-11-02","4.92",",,W"," 1356",",,X"," 2325",",,W","0.00",",,0,2400",,,,,,,"89",",,0","59",",,0","  280",",,X","   10",",,X","0.0",",,0","13.0",",,X","23.0",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-11-03","5.14",",,W"," 1328",",,X"," 1334",",,W","0.00",",,0,2400",,,,,,,"98",",,0","65",",,0","  270",",,X","  260",",,X","0.0",",,0","17.9",",,X","21.0",",,X","    1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-11-04","4.92",",,W"," 1525",",,X"," 1525",",,W","0.00",",,0,2400",,,,,,,"96",",,0","69",",,0","  270",",,X","  270",",,X","0.0",",,0","15.0",",,X","17.0",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-11-05","4.92",",,W"," 1513",",,X"," 2115",",,W","0.00",",,0,2400",,,,,,,"87",",,0","65",",,0","  270",",,X","  140",",,X","0.0",",,0","13.0",",,X","16.1",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-11-06","8.05",",,W"," 1205",",,X"," 1155",",,W","0.00",",,0,2400",,,,,,,"70",",,0","62",",,0","  260",",,X","  250",",,X","0.0",",,0","17.9",",,X","21.9",",,X","    1",",,W",,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-11-07","6.49",",,W"," 1702",",,X"," 1552",",,W","0.00","T,,0,2400",,,,,,,"67",",,0","58",",,0","  270",",,X","  270",",,X","0.0",",,0","15.0",",,X","17.9",",,X","    1",",,W",,,,,"    1",",,0",,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-11-08","11.18",",,W"," 2103",",,X"," 2102",",,W","0.31",",,0,2400",,,,,,,"69",",,0","57",",,0","  290",",,X","  290",",,X","0.0",",,0","21.9",",,X","30.0",",,X","    1",",,W",,,,,"    1",",,0",,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-11-09","6.49",",,W"," 1502",",,X"," 1528",",,W","0.00",",,0,2400",,,,,,,"67",",,0","49",",,0","  270",",,X","  290",",,X","0.0",",,0","15.0",",,X","23.0",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-11-10","6.49",",,W"," 2123",",,X"," 1957",",,W","0.00",",,0,2400",,,,,,,"64",",,0","50",",,0","  330",",,X","   20",",,X","0.0",",,0","17.0",",,X","23.9",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-11-11","5.14",",,W"," 1513",",,X"," 1512",",,W","0.00",",,0,2400",,,,,,,"77",",,0","50",",,0","   10",",,X","   20",",,X","0.0",",,0","21.0",",,X","25.9",",,X","    1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-11-12","4.03",",,W"," 1544",",,X"," 1533",",,W","0.00",",,0,2400",,,,,,,"75",",,0","48",",,0","  270",",,X","  270",",,X","0.0",",,0","13.0",",,X","15.0",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-11-13","4.70",",,W"," 1314",",,X"," 2252",",,W","0.00",",,0,2400",,,,,,,"78",",,0","54",",,0","  270",",,X","   10",",,X","0.0",",,0","15.0",",,X","23.0",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-11-14","4.25",",,W"," 1422",",,X"," 1906",",,W","0.00",",,0,2400",,,,,,,"78",",,0","52",",,0","  260",",,X","  180",",,X","0.0",",,0","13.0",",,X","16.1",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-11-15","4.92",",,W"," 0027",",,X"," 1049",",,W","0.00",",,0,2400",,,,,,,"75",",,0","54",",,0","   70",",,X","  160",",,X","0.0",",,0","12.1",",,X","15.0",",,X","    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-11-16","4.03",",,W"," 1248",",,X"," 1508",",,W","0.00",",,0,2400",,,,,,,"66",",,0","51",",,0","  280",",,X","  250",",,X","0.0",",,0","12.1",",,X","14.1",",,X","    1",",,W","    1",",,X",,,,,"    1",",,0","    1",",,X","    1",",,0","    1",",,X",,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-11-17","4.92",",,W"," 1437",",,X"," 1736",",,W","0.00",",,0,2400",,,,,,,"65",",,0","56",",,0","  270",",,X","  300",",,X","0.0",",,0","13.0",",,X","16.1",",,X","    1",",,W",,,,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-11-18","6.93",",,W"," 1611",",,X"," 1612",",,W","0.00",",,0,2400",,,,,,,"64",",,0","55",",,0","  270",",,X","  270",",,X","0.0",",,0","16.1",",,X","17.9",",,X","    1",",,W","    1",",,X",,,,,"    1",",,0","    1",",,X","    1",",,0","    1",",,X",,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-11-19","3.80",",,W"," 2326",",,X"," 2325",",,W","0.00","T,,0,2400",,,,,,,"62",",,0","58",",,0","  200",",,X","  190",",,X","0.0",",,0","14.1",",,X","19.9",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-11-20","9.17",",,W"," 1236",",,X"," 2011",",,W","0.03",",,0,2400",,,,,,,"63",",,0","54",",,0","  260",",,X","  290",",,X","0.0",",,0","19.9",",,X","23.9",",,X","    1",",,W",,,,,"    1",",,0",,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-11-21","13.87",",,W"," 1208",",,X"," 1212",",,W","0.16",",,0,2400",,,,,,,"61",",,0","51",",,0","  270",",,X","  270",",,X","0.0",",,0","31.1",",,X","34.9",",,X","    1",",,W",,,,,"    1",",,0",,,"    1",",,W",,,,,,,"    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-11-22","6.04",",,W"," 1546",",,X"," 1512",",,W","0.00",",,0,2400",,,,,,,"60",",,0","45",",,0","  270",",,X","  280",",,X","0.0",",,0","17.0",",,X","21.9",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-11-23","10.96",",,W"," 2305",",,X"," 2348",",,W","0.04",",,0,2400",,,,,,,"60",",,0","47",",,0","  270",",,X","  280",",,X","0.0",",,0","23.9",",,X","28.0",",,X","    1",",,W",,,,,"    1",",,0",,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-11-24","8.05",",,W"," 0112",",,X"," 0124",",,W","0.00",",,0,2400",,,,,,,"60",",,0","49",",,0","  270",",,X","  280",",,X","0.0",",,0","25.9",",,X","30.0",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-11-25","4.70",",,W"," 1626",",,X"," 0955",",,W","0.00",",,0,2400",,,,,,,"62",",,0","42",",,0","  240",",,X","  220",",,X","0.0",",,0","12.1",",,X","23.9",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-11-26","6.26",",,W"," 1330",",,X"," 1328",",,W","0.00",",,0,2400",,,,,,,"68",",,0","45",",,0","  280",",,X","  280",",,X","0.0",",,0","15.0",",,X","17.9",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-11-27","8.05",",,W"," 2258",",,X"," 2305",",,W","0.05",",,0,2400",,,,,,,"61",",,0","42",",,0","  280",",,X","  270",",,X","0.0",",,0","28.0",",,X","32.0",",,X","    1",",,W",,,,,"    1",",,0",,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-11-28","9.17",",,W"," 0036",",,X"," 1946",",,W","0.00",",,0,2400",,,,,,,"60",",,0","48",",,0","  290",",,X","  340",",,X","0.0",",,0","21.9",",,X","32.0",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-11-29","5.82",",,W"," 1457",",,X"," 2309",",,W","0.00",",,0,2400",,,,,,,"62",",,0","43",",,0","  260",",,X","  310",",,X","0.0",",,0","13.0",",,X","17.0",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-11-30","4.70",",,W"," 1420",",,X"," 2013",",,W","0.00",",,0,2400",,,,,,,"68",",,0","42",",,0","  270",",,X","  300",",,X","0.0",",,0","13.0",",,X","16.1",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-12-01","5.37",",,W"," 1514",",,X"," 1754",",,W","0.00",",,0,2400",,,,,,,"69",",,0","49",",,0","  270",",,X","  280",",,X","0.0",",,0","13.0",",,X","15.0",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-12-02","4.03",",,W"," 1308",",,X"," 1544",",,W","0.00",",,0,2400",,,,,,,"71",",,0","47",",,0","  270",",,X","  290",",,X","0.0",",,0","13.0",",,X","14.1",",,X",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","2010-12-03","4.47",",,W"," 1256",",,X"," 1511",",,W","0.00",",,0,2400",,,,,,,"69",",,0","49",",,0","  270",",,X","  290",",,X","0.0",",,0","13.0",",,X","16.1",",,X","    1",",,W",,,,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,,,,,
